name,0,1,2,3,4,5,6,7,avg,std
acc_1back,99.0,100.0,99.5,99.5,99.5,99.0,100.0,99.5,99.5,0.35
acc_3back,91.92,92.42,90.4,89.39,96.46,96.46,89.39,92.93,92.42,2.64
acc_a10,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
acc_a20,100.0,100.0,98.99,99.5,100.0,100.0,100.0,100.0,99.81,0.35
tlx_1back,48.19,32.04,46.99,64.18,34.73,37.17,54.94,25.34,42.95,12.08
tlx_3back,82.72,44.25,80.65,80.5,60.17,76.45,68.38,93.36,73.31,14.35
tlx_a10,36.82,39.94,45.37,49.45,32.4,39.15,47.68,46.06,42.11,5.56
tlx_a20,54.71,46.61,62.34,52.0,36.48,58.5,51.33,65.5,53.43,8.61
diff_1back,30.0,0.0,20.0,10.0,5.0,10.0,35.0,30.0,17.5,12.25
diff_3back,80.0,50.0,85.0,80.0,75.0,70.0,70.0,90.0,75.0,11.46
diff_a10,5.0,10.0,10.0,10.0,0.0,10.0,10.0,20.0,9.38,5.27
diff_a20,30.0,20.0,50.0,10.0,5.0,30.0,35.0,70.0,31.25,19.8
